,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,ダ,芝,障,1,良,稍,不,重,17,18,19,20,21,22,23,24,25,26,27,28
16,2014/03/16,2中山6,晴,10,東風S(OP),201406020610,,16,3,5,71.0,13,12,三浦皇成,55,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.7,0.8,**,9-9-9,36.0-35.1,35.4,482(0),,,シャイニープリンス,
17,2014/02/23,2京都8,晴,11,洛陽S(OP),201408020811,,16,4,8,44.9,10,10,中村将之,55,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.5,0.7,**,2-2,35.5-35.0,35.7,482(-4),,,ノーブルジュエリー,
18,2014/01/13,1京都5,晴,11,淀短距離S(OP),201408010511,,16,6,12,40.9,9,11,菱田裕二,54,0.0,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:08.5,1.1,**,15-15,33.8-33.6,33.6,486(0),,,レディオブオペラ,
19,2013/12/08,4中京4,晴,11,尾張S(OP),201307040411,,18,8,16,35.3,11,4,菱田裕二,54,0.0,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:09.0,0.4,**,12-12,34.5-34.1,33.5,486(-4),,,ストレイトガール,320.0
20,2013/11/10,5東京4,曇,10,オーロC(OP),201305050410,,18,8,18,28.6,12,11,戸崎圭太,53,0.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:21.5,0.4,**,9-6,35.3-34.1,34.0,490(+4),,,プリンセスメモリー,
21,2013/08/24,2新潟9,晴,11,朱鷺S(OP),201304020911,,13,5,7,21.9,7,5,戸崎圭太,52,0.0,1.0,0.0,1400,1.0,0.0,0.0,0.0,**,1:21.1,0.1,**,6-6,35.0-34.4,33.9,486(0),,,インプレスウィナー,210.0
22,2013/08/11,2新潟6,晴,11,関屋記念(G3),201304020611,,18,1,2,57.9,10,13,酒井学,53,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.5,1.0,**,12-12,34.5-34.6,34.3,486(+2),,,レッドスパーダ,
23,2013/07/21,3中京8,晴,11,トヨタ賞中京記念(G3),201307030811,,16,7,13,36.5,12,7,酒井学,52,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.0,0.5,**,15-15-15,35.7-34.8,34.4,484(+2),,,フラガラッハ,
24,2013/06/30,3中京2,晴,11,CBC賞(G3),201307030211,,14,4,5,12.7,7,7,武豊,51,0.0,1.0,0.0,1200,1.0,0.0,0.0,0.0,**,1:08.8,0.8,**,13-13,34.2-33.8,33.1,482(0),,,マジンプロスパー,
25,2013/05/05,2東京6,晴,11,NHKマイルC(G1),201305020611,,18,1,2,71.5,13,16,武豊,57,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.8,1.1,**,14-15,34.4-34.9,34.6,482(0),,,マイネルホウオウ,
26,2013/04/06,3中山5,雨,11,ニュージーランドT(G2),201306030511,,16,5,10,99.9,11,10,松岡正海,56,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.5,0.7,**,16-16-13,35.7-34.8,34.3,482(-6),,,エーシントップ,
27,2013/03/17,2中山8,晴,11,フジTVスプリングS(G2),201306020811,,16,6,12,78.3,14,14,松岡正海,56,0.0,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:49.5,1.7,**,8-2-1-2,36.8-35.6,37.3,488(+4),,,ロゴタイプ,
28,2013/02/10,1東京6,晴,11,共同通信杯(G3),201305010611,,10,3,3,26.7,8,7,松岡正海,57,0.0,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:46.7,0.7,**,6-4-4,36.0-34.0,34.3,484(0),,,メイケイペガスター,
29,2013/01/06,1京都2,晴,11,日刊スポシンザン記念(G3),201308010211,,16,6,11,23.9,10,8,ビュイッ,57,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.0,0.7,**,12-13,34.6-35.7,35.2,484(-8),,,エーシントップ,
30,2012/12/16,5中山6,晴,11,朝日フューチュリティ(G1),201206050611,,16,1,1,62.0,11,12,松岡正海,55,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:34.3,0.9,**,16-15-15,33.9-36.1,35.8,492(+4),,,ロゴタイプ,
31,2012/11/17,5東京5,小雨,11,東京スポーツ杯2歳S(G3),201205050511,,15,7,13,18.6,6,12,松岡正海,55,0.0,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:47.1,1.1,**,8-6-6,35.1-34.5,34.9,488(+8),,,コディーノ,
32,2012/08/26,3新潟6,晴,11,新潟2歳S(G3),201204030611,,18,8,16,6.3,3,1,松岡正海,54,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:33.5,0.0,**,15-15,35.1-34.6,33.4,480(+2),,,(ノウレッジ),"3,064.4"
33,2012/07/14,2新潟1,曇,1,2歳未勝利,201204020101,,12,6,7,2.4,1,1,柴田善臣,54,0.0,1.0,0.0,1600,1.0,0.0,0.0,0.0,**,1:35.8,-0.3,**,7-7,35.7-34.4,33.7,478(0),,,(スワンソング),500.0
34,2012/06/23,2福島3,晴,5,2歳新馬,201203020305,,15,3,5,6.0,2,3,柴田善臣,54,0.0,1.0,0.0,1800,1.0,0.0,0.0,0.0,**,1:51.5,0.2,**,13-13-10-9,36.7-36.1,35.5,478(0),,,マイネルホウオウ,180.0
